1	Eskalopki	Dwa średniej wielkości filety z kurczaka (cała pierś razem z polędwiczkami) pokrój na nieduże, lekko podłużne kawałki. Najlepiej jest kroić mięso w poprzek włókien. Podczas krojenia filetów usuń ewentualne żyłki, czy chrząstki. Eskalopki muszą być bardzo cienkie, a najlepiej nie grubsze niż 5-7 mm, dlatego też należy je bardzo delikatnie rozbić np. przy pomocy tłuczka do mięsa. Rozbite kotleciki oprósz lekko z obu stron mieszanką przypraw. Słodką paprykę można pominąć lub zastąpić odrobiną oregano. Nagrzej średnią lub dużą patelnię z grubym dnem. Na patelnię wylej około 2-3 oleju rzepakowego lub też masła klarowanego (albo mieszankę oleju i masła). Ustaw trochę niższą niż średnia moc palnika i poczekaj chwilę, aż tłuszcz dobrze się nagrzeje. Na patelnię kładź po kilka eskalopek na raz zachowując między nimi niewielkie odstępy. Eskalopki smaż króciutko, bo orientacyjnie maksymalnie po minutę na stronę. Przewracaj je na druga stronę, gdy zrobią się od spodu rumiane.	obiad	0
2	Sznycel	Ładny kawałek wybranego mięsa o wadze około 500-600 gramów pokrój (najlepiej w poprzek włókien) na cztery kotlety. Na blacie połóż złożoną na pół ściereczkę lub materiałową łapkę kuchenną. Na ścierce umieść deskę drewnianą. Na desce kładź po kolei sznycle i ubijaj tłuczkiem do mięsa z obu stron na jak najcieńsze kotlety. Pamiętaj, by przed ubijaniem kotleta położyć na niego woreczek śniadaniowy i dopiero ubijać. Każdego kotleta oprósz z obu stron mieszanką soli i pieprzu (pół łyżeczki soli; 1/3 łyżeczki pieprzu lub więcej). Przygotuj dwa szersze i głębsze talerze. Do jednego talerza wbij dwa nieduże jajka i rozbełtaj je bardzo dokładnie widelcem lub rózgą kuchenną. Do drugiego wsyp bułkę tartą oraz mąkę. Zalecam wymieszać ze sobą 60 gramów dobrej jakości bułki tartej oraz 15 gramów mąki pszennej. Każdego kotleta zanurzaj w płynie jajecznym i od razu obtaczaj w bułce tartej z mąką. Gotowe do smażenia sznycle odkładaj na suchy talerz lub na drewnianą deskę. Na patelni z nagrzanym masłem umieść tyle sznycli, by bez problemu mieściły się obok siebie. Sznycle smaż orientacyjnie, po kilka minut na stronę (do 3 minut). Przewracaj je na druga stronę, gdy zrobią się od spodu rumiane.	obiad	1
3	Kartacze	"Mięso zmiel w maszynce na najmniejszych oczkach. Do zmielonego mięsa dodaj przyprawy: po płaskiej łyżeczce soli i majeranku oraz pół łyżeczki pieprzu. Dołóż też obrane i drobno posiekane cebule. Bardzo dokładnie wymieszaj mięso z przyprawami i cebulą. Jeśli mięso wyda Ci się zbite i gęste, to dodaj do niego kilka łyżek zimnej wody. Do farszu nie daję ani bułki tartej, ani jajek. Na ""ciasto"" do kartaczy potrzebujesz jeden kilogram ugotowanych już ziemniaków. Ugotowane ziemniaki najlepiej jest zmielić w maszynce lub przepuścić przez praskę. Zmielone na gładko ziemniaki umieść w szerszej misce. Ponad dwa kilogramy sypkich ziemniaków obierz cienko i zetrzyj na tarce, na bardzo drobnych oczkach. (Po obraniu otrzymałam 2000 gramów ziemniaków gotowych do tarcia). Do starcia ziemniaków używam wyłącznie tarki o bardzo drobnych oczkach. Ziemniaki można też zetrzeć przy użyciu malaksera/maszynki do mielenia z odpowiednią nakładką. Starte ziemniaki należy bardzo mocno odcisnąć z całej wody. Masa ziemniaczana po odciśnięciu ma być idealnie sucha. Odciśniętej wody nie wylewaj. Odstaw ją w miseczce na 10 minut. Po tym czasie na dnie naczynia powinna zebrać się skrobia z ziemniaków. Wodę wylewasz do zlewu. Na dnie zostanie sama skrobia. Skrobię dołóż do masy ziemniaczanej i dodaj jeszcze dwie łyżki dodatkowej porcji skrobi/mąki ziemniaczanej. Wymieszaj bardzo dokładnie ziemniaki gotowane i ziemniaki tarte wraz z mąką ziemniaczaną. Do masy zalecam dodać też odrobinę soli. Jeśli Twoje gotowane ziemniaki były po zmieleniu dość rzadkie, klejące i sprawiały wrażenie lekko przezroczystych, to znaczy, że były to ziemniaki o niskiej zawartości skrobi. Tak samo ziemniaki tarte surowe. Jeśli po starciu były bardzo wodniste, to do masy ziemniaczanej trzeba dodać dodatkowe dwie łyżki skrobi/mąki ziemniaczanej. Masa ziemniaczana powinna być zwarta i gęsta, by bez problemu można było formować z niej dowolny kształt klusek. Nabierz dwie łyżki masy ziemniaczanej. Uformuj kulkę a następnie spłaszcz ją na placek wielkości dłoni. Nabierz łyżkę surowego farszu mięsnego i umieść na środku placka. Placek zamknij i uformuj w dłoniach na kształt wydłużonego jajka. W taki sposób uformuj wszystkie kartacze z mięsem. Cepeliny powinny mieć około 10 cm długości (mogą być też trochę większe). W taki sposób przygotuj wszystkie kartacze. W dużym, szerokim garnku zagotuj wodę. Garnek wypełnij wodą nie więcej niż do połowy wysokości. Do wrzątku wsyp płaską łyżeczkę soli. Na gotujący się wrzątek kładź po kilka kartaczy na raz. Zachowaj odstępy między kluskami, by miały możliwość swobodnego wypłynięcia na powierzchnię. Cepeliny gotuj tak przez 15 minut. Postaraj się tak dostosować moc palnika, by kartacze gotowały się przez cały czas. Nie ustawiaj jednak zbyt wysokiej mocy palnika (woda ma tylko lekko wrzeć). Kluski wyławiaj przy pomocy płaskiego cedzaka i odkładaj na talerz zachowując między nimi niewielkie odstępy. W ten sposób ugotuj wszystkie przygotowane kartacze. Jeszcze gorące kartacze podawaj z drobno siekaną cebulką zarumienioną na kawałkach słoniny, na smalcu lub na oleju roślinnym. Zamiast cebulki lub też razem z nią bardzo dobrze sprawdzi się też surowy, wędzony boczek pokrojony w kosteczkę. Zamiast okrasy można też polać kartacze ulubionym sosem."	obiad	0
4	Gulasz wołowy	Do zrobienia gulaszu użyłam tym razem karczku wołowego, ale bardzo dobra będzie też łopatka lub pręga wołowa. Mięso osusz ręcznikiem papierowym i pokrój w plastry, a potem na kawałki na jeden kęs. Kawałki mięsa obtocz w mące. Na lekkie oprószenia mięsa zużyłam dwie łyżki mąki pszennej. Nagrzej dość dużą patelnię. Wlej dwie łyżki oleju do smażenia i poczekaj, aż olej dobrze się nagrzeje, a następnie ostrożnie wyłóż część kawałków mięsa. Nie kładź na patelnię wszystkiego na raz. Zawartość patelni smaż tak, na dość wysokiej mocy palnika przed kilka minut. Pozwól, by wołowina ładnie się w tym czasie zarumieniła. W trakcie podsmażania zamieszaj kilka razy mięso przy pomocy drewnianej łyżki. Gdy dana porcja mięsa jest już podsmażona, to przekładaj ją do garnka, w którym gulasz będzie duszony w kolejnym etapie. Na patelnię wlej w razie potrzeby resztę oleju i wyłóż pozostałe mięso. Podsmażaj je tak samo, jak pierwszą partię, a potem przełóż do garnka. Na patelni zostaw jednak tłuszcz, ponieważ będziesz na nim smażyć warzywa. Do garnka z podsmażonym mięsem wlej dwie szklanki wody (nie więcej niż 500 ml). Dodaj łyżeczkę słodkiej papryki, pół łyżeczki ostrej papryki i około 1/3 łyżeczki pieprzu. Wrzuć dwa liście laurowe i trzy ziarna ziela angielskiego. Całość zamieniaj i przykryj garnek przykrywką. Ustaw małą moc palnika i zacznij dusić gulasz wołowy. Na patelni po podsmażonej wołowinie można śmiało zarumienić cebulę z czosnkiem. Przygotuj siebie zatem warzywa. Cebulę i marchew obierz i drobno posiekaj. Ząbki czosnku obierz i przepuść przez praskę lub posiekaj drobno, zaś paprykę umyj, oczyść z gniazda nasiennego i również pokrój na małe kawałki. Posiekaną drobno cebulę (zwykła lub czosnkowa) umieść na patelni ( w razie potrzeby dodaj jeszcze trochę oleju) i podsmażaj na średniej mocy palnika przez około 10 minut. Cebula ma się zeszklić. Może się też lekko zarumienić. Na chwile przed wyłączeniem dodaj czosnek. Zamieszaj cebulę z czosnkiem i po chwili całą zawartość patelni dodaj do garnka z gotującym się gulaszem. Od razu dodaj też marchew. Nie trzeba jej wcześniej podsmażać. Znów zamieszaj w garnku. Przykryj gulasz wołowy przykrywką i dalej duś na małej mocy palnika. Po około godzinie duszenia do garnka dodaj jeszcze kawałki czerwonej papryki i wsyp łyżeczkę soli. Gulasz duś pod przykryciem kolejną godzinę lub dłużej, czyli do momentu, gdy mięso będzie już idealnie miękkie. Gdy mięso zmięknie, pora sprawdzić smak gulaszu oraz lekko go zagęścić. W razie potrzeby dopraw gulasz dodając do niego więcej soli, pieprzu lub też papryki chili albo pieprzu cayenne. Jeśli odparowało Ci sporo sosu i masz pod ręką czerwone, wytrawne wino, to możesz wlać do gulaszu pół szklanki wina. Gulasz mieszaj przez kilka minut i ponownie spróbuj. Do małej miseczki wlej do 50 ml letniej wody i wsyp łyżkę mąki pszennej. Całość mieszaj do uzyskania gładkiego płynu. Mąkę rozrobioną z wodą wlej do garnka z gulaszem. Wlewając płyn cały czas mieszaj gulasz wołowy (dla pewności można też wiodę z mąką przelewać do garnka przez małe sitko). Poczekaj, aż gulasz zacznie się ponownie gotować i lekko zgęstnieje, a następnie wyłącz palnik. 	obiad	None
5	Ciapkapusta	Przygotuj sobie jeden kilogram ziemniaków typu B lub C. To najlepsze ziemniaki do pieczenia oraz na puree. Możesz użyć ziemniaków różnej wielkości, ponieważ po obraniu polecam pokroić je na mniejsze kawałki o wymiarach około 4 cm. Tak pokrojone ziemniaki będą miękkie w tym samym czasie, a do tego szybciej się ugotują. Obrane i pokrojone ziemniaki przepłucz i umieść w garnku z zimną i osoloną wodą (wystarczy płaska łyżeczka soli). Ziemniaki gotuj do miękkości. Nie pozwól im się jednak rozgotować. Ugotowane ziemniaki nie powinny się same rozpadać. U mnie trwało to około 15 minut. Odlej wrzątek z ugotowanych ziemniaków. Garnek z ziemniakami ponownie umieść na palniku, by odparować z nich resztki wody. Wystarczy jedna minuta. Możesz kilka razy potrząsnąć garnkiem z ziemniakami. Od razu zabierz się za przetarcie gorących ziemniaków. Możesz użyć do tego specjalnego sitka, przepuścić je przez maszynkę lub praskę albo zmielić. Uważaj jednak na to, by nie ugniatać ziemniaków za długo, ani nie mielić ich na bardzo drobnych oczkach. Ugotowane ziemniaki nie powinny zrobić się zbyt klejące i maziste. Wyszło mi około 750 gramów gładko tłuczonych ziemniaków. W tym samym czasie możesz też ugotować kapustę kiszoną (bez marchewki). Tę ciapkapustę robiłam w sierpniu, więc użyłam dość młodej i delikatnej kiszonej kapusty. 500 gramów kapusty kiszonej bez odciskania z wody umieść w garnku. Wlej dodatkowo pół szklanki wody. Garnek przykryj przykrywką i zagotuj kapustę. Jak tylko kapusta zacznie się gotować, zmniejsz moc palnika do takiej, by kapusta tylko lekko mrugała. Kapustę gotuj tak do miękkości. Ma być mięciutka, ale nie rozpadająca się. Gotowanie kapusty może trwać 30 minut lub dłużej. Sporo zależy od samej kapusty oraz Twoich preferencji. Gdyby zabrakło wody w trakcie gotowania, to można ją uzupełnić. Gotową kapustę przełóż na sitko, by pozbyć się nadmiaru wody. Kapusta może być mokra, jednak nie powinna pływać w kwaśnej wodzie. Cebulkę z boczkiem można szykować na trzecim palniku równocześnie z kapustą i ziemniakami. Nagrzej średniej wielkości patelnię, a następnie wlej też cztery łyżki oleju do smażenia. Cebule obierz i poszatkuj drobno. Umieść na patelni z tłuszczem i podsmażaj przez kilka minut, aż cebulka lekko się zeszkli. Na patelnię dodaj też około 100 gramów bardzo drobno pokrojonego boczku. U mnie był to nietłusty boczek surowy wędzony w plasterkach, który pokroiłam na mniejsze paseczki. Cebulkę z boczkiem podsmażaj na niższej niż średnia moc palnika przez około 10 minut, aż cebulka i boczek zrobią się rumiane. Na koniec dodaj też pół łyżeczki pieprzu oraz 1/3 łyżeczki majeranku (można go pominąć). Dodatkowo można też dodać odrobinę kminku. Na koniec umieść w jednej misce ziemniaki, kapustę i całą zawartość patelni. Wszystko razem bardzo dokładnie wymieszaj, a następnie sprawdź smak dania. Bardzo możliwe, że dodasz więcej pieprzu. Jeśli chodzi o sól, to śmiało można ją dodać. Zostawiam to jednak na koniec, ponieważ smak ciapkapusty za każdym razem jest inny. Czasem kapusta jest mniej lub bardziej słona. Tak samo z boczkiem, którego się używa. Zazwyczaj nie dosalam już swojej ciapkapusty. 	obiad	None
6	Makaron ze szparagami	"Pęczek młodych i cienkich szparagów umyj delikatnie pod zimną, bieżącą wodą (u mnie 530 gramów szparagów). Uważaj na główki, które są bardzo delikatne i mogą pęknąć. Złap za koniec każdego szparaga oderwij zdrewniałe końcówki. Możesz to zrobić dłońmi - szparag sam pęknie w miejscu, gdzie zacznie się część zdatna do jedzenia. W ten sposób przygotuj sobie wszystkie szparagi. Osusz je na ręczniku papierowym i każdy pokrój na mniejsze odcinki na jeden kęs. ""Główki"" zostaw nienaruszone. Ostatecznie zostało mi około 350 gramów pokrojonych szparagów. 150 gramów surowego, wędzonego boczku bez skóry pokrój drobniej. Jeśli masz boczek w kawałku, to krój go w drobną kostkę. Jeśli masz boczek w plasterkach (jak ja), to pokrój go tylko na mniejsze kawałki. Boczek umieść na suchej patelni zacznij ją nagrzewać na średniej mocy. Niech tłuszcz z boczku powoli zacznie się wytapiać. Jeśli boczek jest chudy, to możesz wlać też do dwóch łyżek oleju do smażenia. Po pięciu minutach podsmażania/wytapiania tłuszczu, na patelnię wyłóż też pokrojone szparagi. Szparagi z boczkiem smaż tak razem około 15 minut. Co kilka minut zamieszaj całość, by przy okazji skontrolować moc palnika. Jeśli szparagi i beczek za mocno i za szybko się rumienią, to zmniejsz moc palnika. W trakcie podsmażania boczku ze szparagami ugotuj makaron. Do garnka wlej wodę i dorowadź ją do wrzenia. Na ugotowanie 250 gramów makaronu potrzebujesz 10 szklanek wody. Wodę posól dopiero, gdy zacznie się gotować. Do wrzątku wsyp też płaską łyżkę soli (nie ma jej w składnikach). W garnku umieść makaron i gotuj al dente. Makaron gotuję zazwyczaj o minutę lub dwie dłużej, niż zaleca producent na opakowaniu. Ugotowany makaron powinien być sprężysty, ale miękki. Uwaga - odlej niecałe pół szklanki wody, w której gotował się makaron. Dodasz ją za chwilę na patelnię ze szparagami i boczkiem. Ugotowany makaron przełóż na durszlak i od razu z powrotem do garnka, w którym się gotował. Makaron ma być mokry. Po ugotowaniu makaron ważył u mnie około 580 gramów. Po 15 minutach smażenia na patelnię wyłóż też obrany i przeciśnięty przez praskę ząbek czosnku. Wsyp też przyprawy: po 1/3 łyżeczki soli i pieprzu (czarny, biały lub kolorowy) oraz 1/4 łyżeczki gałki muszkatołowej. Całość zamieszaj. Szparagi powinny być już miękkie, jednak nadal sprężyste i chrupiące. Cały czas smaż całość na trochę niższej niż średnia moc palnika (2-3 minuty). Na patelnię wlej pięć łyżek wody odlanej z garnka po makaronie oraz tyle samo śmietanki kremówki. Od razu dodaj też około 20 gramów tartego parmezanu (może być tez ser cheddar). Całość mieszaj powoli czekając, aż sos zrobi się jednolity i zacznie się gotować (mała moc palnika). Sprawdź smak dania i zdecyduj, czy chcesz dodać więcej przypraw (ostateczny smak jest w dużej mierze zależny od tego jak mocno słony był boczek oraz od tego jak ostry był użyty ser). Jeśli uważasz, że masz za mało sosu, to wlej więcej wody po makaronie i dodaj więcej tartego parmezanu (można też dodać trochę masła klarowanego). Całą zawartość patelni przełóż do garnka z ugotowanym makaronem. Wszystko razem delikatnie wymieszaj i od razu podawaj. Makaron ze szparagami i boczkiem polecam udekorować dodatkowo natką pietruszki."	obiad	0
7	Udziec z indyka pieczony	"Wybierz ładny i spory udziec z indyka o wadze około 1300-1400 gramów. Mięso umyj szybko i sprawnie (nie za długo) w zlewie pod zimną, bieżącą wodą i osusz od razu ręcznikiem papierowym. Nie odcinaj włókien oraz ewentualnych kawałków tłuszczu. To dodatkowe zabezpieczenie dla mięsa przed wysuszeniem w piekarniku. Zawsze też dokładnie myj zlew po mięsie. Cztery ząbki czosnku obierz i przepuść przez praskę. Do miseczki z czosnkiem dodaj po łyżce ulubionego miodu i musztardy. Używam jasnych, płynnych miodów (np. akacjowy lub lipowy) oraz musztardy delikatesowej. Wlej też dwie łyżki ulubionej oliwy lub ewentualnie innego oleju roślinnego. Wsyp przyprawy: po łyżce majeranku i słodkiej papryki; płaska łyżeczka soli; po pół płaskiej łyżeczki pieprzu i ostrej papryki. Dokładnie wymieszaj składniki marynaty. Marynarę wyłóż na płat mięsa i postaraj się pokryć nią całą powierzchnię udźca. Ponieważ jest to mięso, które bardziej przypomina szeroki płat, to warto je ""zwinąć"". Aby udziec upiekł się równo i zgrabniej się prezentował, warto związać go dodatkowo w kilku miejscach nicią wędliniarską lub ""wcisnać"" w siatkę/rękaw do pieczenia. Ja użyłam szerszej siatki, której oba końce związałam nicią. Tak przygotowane mięso zawiń szczelnie w folię (u mnie przezroczysta folia spożywcza). Mięso odłóż do lodówki na minimum sześć godzin. Udziec z indyka możesz śmiało marynować nawet do 48 godzin. W dniu pieczenia zdejmij folię, a udziec (cały czas w siatce) umieść w brytfance lub na blaszce. Niczym go nie przykrywaj. Blaszkę umieść w piekarniku nagrzanym do 175 stopni z grzaniem góra/dół. Wybierz środkową półkę piekarnika. Udziec piecz tak około 90 minut. W międzyczasie przynajmniej dwa razy polewaj mięso zebranym sosem, zaś w połowie pieczenia przewróć je też na drogą stronę (przewrócenie nie jest jednak konieczne). Gdyby mięso zaczęło się od góry mocniej podpiekać, można je przykryć folią lub przykrywką od brytfanki. Upieczony udziec z indyka wyjmujemy z piekarnika od razu po upieczeniu. Po lekkim przestudzeniu zalecam zdjąć też siatkę/nici. "	obiad	None
8	Karkówka pieczona	Wybierz ładny kawałek karkówki wieprzowej o wadze około 1500 gramów. Mięso umyj szybko i sprawnie (nie za długo) w zlewie pod zimną, bieżącą wodą i osusz od razu ręcznikiem papierowym. Nie odcinaj włókien oraz ewentualnych kawałków tłuszczu. To dodatkowe zabezpieczenie dla mięsa przed wysuszeniem w piekarniku. Zawsze też dokładnie myj zlew po mięsie. Aby karczek upiekł się równo i zgrabniej się prezentował, warto przed marynowaniem związać go dodatkowo w kilku miejscach nicią do pieczenia mięsa. Sześć ząbków czosnku obierz i pokrój w plasterki. Czosnek umieść w moździerzu razem z przyprawami: 3 płaskie łyżeczki majeranku; 2 płaskie łyżeczki soli; po płaskiej łyżeczce pieprzu i ziaren kolendry; pół łyżeczki kminku. Wszystko razem ugnieć na pastę. Możesz też tylko przepuścić obrane ząbki czosnku przez praskę i wymieszać na papkę z przyprawami. Polecam wówczas sięgnąć po kminek i kolendrę w wersji już zmielonej - w proszku. Mięso obłóż dokładnie papką z przygotowanych przypraw. Natrzyj dokładnie całą karkówkę i zawiń szczelnie w folię. Mięso odłóż do lodówki na minimum sześć godzin. Tak przygotowany karczek wieprzowy możesz śmiało marynować nawet do 48 godzin. W dniu pieczenia zdejmij folię. Mięso umieść w rękawie do pieczenia. Zwiąż oba końce. Zachowaj jednak wolną przestrzeń wewnątrz rękawa. Nie zawijaj szczelnie mięsa. Dodatkowo wykonaj kilka otworów w woreczku. Karkówkę w worku umieść na blaszce lub w foremce do pieczenia. Mięso umieść w piekarniku nagrzanym do 160 stopni z grzaniem góra/dół. Wybierz środkową półkę piekarnika. Karkówkę piecz tak przez 2 godziny i 20 minut. Po upieczeniu odstaw ją do przestudzenia, ale nie wyjmuj z rękawa póki całkiem się nie schłodzi. Karkówka będzie wówczas jeszcze bardziej soczysta. Rękaw ma dużo zalet. Po pierwsze bardzo ładnie zatrzymuje całą wilgoć mięsa. Po drugie rękaw wyrzucasz a brytfanka łatwo i szybko się myje. Po upieczeniu mięso puściło sporo soku i tłuszczu i upieczone ważyło znacznie mniej, bo około 1100 gramów. Sos, który został w worku przelałam po przestudzeniu do szklanki. Otrzymałam w ten sposób pełną szklankę sosu/esencjonalnego i dość słonego bulionu. Można go wykorzystać do zup oraz do zrobienia sosu np. chanowego na ciepło.	obiad	1
9	Makaron z jajkiem	Ja użyłam tym razem makaronu z pszenicy durum w kształcie muszelek (Castellane). Aby ugotować makaron, do garnka wlej wodę i dorowadź ją do wrzenia. Na ugotowanie 300 gramów makaronu potrzebujesz 12 szklanek wody (trzy litry). Wodę posól dopiero, gdy zacznie się gotować. Do wrzątku wsyp też płaską łyżkę soli (nie ma jej w składnikach). W garnku umieść makaron i gotuj al dente. Makaron gotuję zazwyczaj o minutę lub dwie dłużej, niż zaleca producent na opakowaniu. Ugotowany makaron powinien być sprężysty, ale miękki. Ugotowany makaron przełóż na durszlak i od razu z powrotem do garnka, w którym się gotował. Świeżo gotowanym makaron ma być mokry. Po ugotowaniu makaron ważył u mnie około 600 gramów. Nagrzej sporą patelnię z grubym dnem. Wlej dwie łyżki oleju do smażenia lub też dodaj dwie łyżki masła klarowanego. 100 gramów boczku surowego wędzonego pokrój drobno i umieść na patelni. Jeśli masz boczek w cienkich plasterkach, to tylko kroisz go w paseczki. Jeśli masz boczek w kawałku, to kroisz go w drobną kostkę (bez skóry). Boczek podsmażaj tak na patelni przez 5-10 minut, aż tłuszcz się wytopi, a boczek zrobi się rumiany. Lepiej ustawić do tego niższą moc palnika. W trakcie podsmażania boczku przygotuj płyn jajeczny. Do miski wbij cztery średnie lub duże jajka. Wlej też cztery łyżki śmietanki kremówki 30 %, czyli około 40 gramów śmietanki. Wsyp pół płaskiej łyżeczki soli i pieprzu. Całość wymieszaj dokładnie np. rózgą kuchenną, by płyn jajeczny zrobił się jednolity. Na patelnię z podsmażonym boczkiem wyłóż ugotowany makaron. Utrzymuj niską moc palnika. Cały czas mieszając zawartość patelni, wlej też płyn jajeczny. Dalej mieszaj makaron z jajkami np. przy pomocy drewnianej łyżki. Cały czas mieszaj wszystko powoli i cierpliwie przynajmniej przez pięć minut. W tym czasie jajko ładnie się zetnie, a danie zrobi się jednolite i doskonałe usmażone/podgrzane. Siekany szczypiorek dodaję na patelnię już na sam koniec albo nawet dopiero na talerze z podanym już makaronem z jajkami. Dobrze sprawdzi się też koperek lub natka pietruszki. Makaron z jajkiem można urozmaicić przez dodanie na talerz drobno pokrojonych pomidorów. Czasem dodaję też pokruszony twaróg lub ser ricotta. 	obiad	None
10	Szare kluski	Jeden kilogram sypkich ziemniaków obierz cienko i zetrzyj na tarce, na bardzo drobnych oczkach. (Po obraniu otrzymałam 880 gramów ziemniaków gotowych do tarcia). Do starcia ziemniaków używam wyłącznie tarki o bardzo drobnych oczkach, co widać też na zdjęciu poniżej. Ziemniaki można też zetrzeć przy użyciu malaksera/maszynki do mielenia z odpowiednią nakładką. Każdy używa trochę innych ziemniaków i jedne będą bardziej a inne mniej mączyste. Polecam lekko odcisnąć nadmiar wody ze startych ziemniaków. Ja używam do tego bawełnianej ściereczki, ale nie odciskam mocno masy i nie trzymam jej na ściereczce dłużej niż kilka minut. Tak więc odlałam do osobnej miski około 80 ml płynu (wody ze startych ziemniaków). Masa powinna być mokra, jednak nie powinna stać w niej woda. Odciśniętej wody nie wylewaj. Odstaw ją w miseczce na 10 minut. Po tym czasie na dnie naczynia powinna zebrać się skrobia z ziemniaków. Skrobię dołóż do masy ziemniaczanej i dodaj 1-2 niepełnych łyżek dodatkowej porcji skrobi/mąki ziemniaczanej. Jedną łyżkę daję zawsze, zaś dwie tylko wtedy, gdy ze startych ziemniaków odlewam więcej niż 80 ml wody. Do miski z ziemniakami wsyp tez pół płaskiej łyżeczki soli i wbij jedno jajko. Zostało już tylko dosypanie odpowiedniej ilości mąki. Zazwyczaj wsypuję jedną szklankę mąki, czyli około 160 gramów mąki. Można użyć mąki pszennej uniwersalnej, szymanowskiej lub poznańskiej. Dla osób, które nie używają lub nie mogą używać mąki pszennej, mam dobrą wiadomość. Szare kluski wychodzą rewelacyjne z dodatkiem mąki żytniej jasnej typ. 720. Tym razem wymieszałam mąkę pszenną uniwersalną z mąką żytnią w proporcji pół na pół. Masa ziemniaczana powinna być po wymieszaniu gęsta jak przestudzony budyń. Podczas nakładania ma nie wylewać się z łyżki, jednak nie może być tez tak sztywna, by można z niej było formować nierozpływające się kształty. Tak więc mąkę dodawaj ostrożnie i stopniowo. W razie potrzeby zwiększ lub zmniejsz jej ilość. W dużym, szerokim garnku można już zacząć gotować wodę. Płaską łyżkę soli wsyp w momencie, gdy woda zacznie się gotować. Solenie wody nie jest jednak konieczne. Łyżką stołową (jak do jedzenia zupy) nakładaj porcje masy wielkości małego orzecha włoskiego (lub mniejsze) i od razu umieszczaj w garnku z wrzątkiem. Szarych klusek nie formujemy, tylko przekładamy do wody. Po ugotowaniu każda kluseczka ma trochę inny kształt, a w trakcie gotowania kluski odrobinę się powiększają. Po umieszczeniu jednej serii klusek, odczekaj do dwóch minut, zanim lekko zamieszasz kluski. Szare kluski lubią opadać na dno garnka i lekko do niego przywierać, ponieważ robimy je z luźniejszej masy i nie są formowane. Dlatego zalecam chwilę poczekać i dopiero, gdy już lekko się podgotują, ostrożnie je zamieszać. Gdy kluski wypłyną na powierzchnię, czekamy jeszcze około pięciu minut i wyławiamy je przy pomocy szerokiego cedzaka. Wyłów wszystkie kluseczki, poczekaj aż odcedzisz nadmiar wody i umieść je na szerokim talerzu lub w salaterce. W ten sposób ugotuj wszystkie porcje szarych klusek. Ja swoje kluski szare gotowałam w trzech turach. Szare kluski najczęściej podaję z okrasą, którą szykuję z podsmażonego z cebulką boczku. Okrasę warto przygotować sobie wcześniej lub smażyć w tym samym czasie, w którym szykujesz szare kluski. Boczek surowy wędzony (bez skóry) kroję w drobną kostkę i umieszczam na zimnej patelni. Ustawiam trochę niższą niż średnia moc palnika i powoli wytapiam z boczku cały tłuszcz. Trwa to do 10 minut. Następnie dolewam jeszcze około pięciu łyżek oleju do smażenia (jeśli boczek jest dość chudy). Na patelnię wykładam obrane i drobno poszatkowane cebule. Całość smażę jeszcze około 15 minut, aż do ładnego zarumienienia się cebulki. Całą zawartość patelni przekładam na półmisek z gotowymi szarymi kluskami i od razu podaję. Szare kluski z cebulką i boczkiem można dodatkowo udekorować siekanym szczypiorkiem, koperkiem lub natką pietruszki. Jeśli mam ochotę, to kruszę też odrobinę twarogu i rozkładam na porcje szarych klusek z okrasą. Jeśli dodajesz twaróg, to możesz też śmiało zrezygnować z boczku i podać szare kluski w wersji bezmięsnej, czyli tylko z podsmażoną na oleju cebulką i twarogiem lub serem ricotta. 	obiad	None
