1	pierś z kurczaka	1	1 średnia pierś z kurczaka	750
2	olej	1	3 łyżki oleju	30
3	sól	1	łyżeczka soli	6
4	papryka słodka	1	łyżeczka słodkiej papryki	6
5	pieprz	1	1/2 łyżeczki pieprzu	3
6	cielęcina	2	około 550 g chudej cielęciny	550
7	jajko	2	2 średnie jajka	110
8	masło klarowane	2	50 g masła klarowanego	50
9	bułka tarta	2	4 czubate łyżki bułki tartej	60
10	mąka pszenna	2	1 łyżka mąki pszennej	10
11	sól	2	1/2 łyżeczki soli	3
12	pieprz	2	1/3 łyżeczki pieprzu	2
13	cytryna	2	mała cytryna	120
14	ziemniak	3	0,5 kg surowych ziemniaków	500
15	ziemniak	3	250g ugotowanych ziemniaków	250
16	mielona łopatka wieprzowa	3	125 g mielonej łopatki wieprzowej	125
17	cebula	3	połowa cebuli	60
18	mąka pszenna	3	pół łyżki mąki pszennej	5
19	sól	3	1/2 łyżeczka soli	3
20	majeranek	3	1/3 łyżeczka majeranku	2
21	pieprz	3	1/2 łyżeczki pieprzu	3
22	wołowina	4	750g wołowiny na gulasz np. łopatka lub karczek	750
23	papryka czerwona	4	1 czerwona papryka	220
24	cebula	4	1 cebula zwykła	140
25	marchew	4	1 średnia marchewka	80
26	czosnek	4	3 ząbki czosnku	15
27	mąka pszenna	4	2,5 łyżki mąki pszennej	25
28	olej	4	3 łyżki oleju	30
29	woda	4	400ml wody	400
30	sól	4	1 łyżeczka soli	6
31	papryka słodka	4	1 łyżeczka słodkiej papryki	6
32	papryka ostra	4	1/2 łyżeczki ostrej papryki 	3
33	pieprz	4	1/3 łyżeczki pieprzu	2
34	liść laurowy	4	2 nieduże listki laurowe	0.4
35	ziele angielskie	4	3 ziarna ziela angielskiego	1.5
36	ziemniak	5	1 kg ziemniaków	1000
37	kapusta kiszona	5	500 g kapusty kiszonej	500
38	cebula	5	2 średnie cebule	400
39	boczek surowy wedzony	5	boczek surowy wedzony	100
40	olej	5	4 łyżki oleju	40
41	pieprz	5	1/2 łyżeczki pieprzu	3
42	majeranek	5	1/3 łyżeczki majeranku	2
43	makaron	6	250 g suchego makaronu	250
44	szparag	6	1 pęczek zielonych szparagów	530
45	boczek surowy wedzony	6	boczek surowy wedzony	150
46	śmietanka kremówka 30%	6	5 łyżek śmietanki kremówki 30%	50
47	parmezan	6	20 g parmezanu	20
48	czosnek	6	1 ząbek czosnku	5
49	sól	6	1/3 łyżeczki soli	2
50	pieprz	6	1/3 łyżeczki pieprzu	2
51	gałka muszkatołowa	6	1/3 łyżeczki gałki muszkatołowej	2
52	udziec z indyka	7	około 1300 g udźca z indyka	1300
53	miód	7	1 łyżka miodu	10
54	musztarda	7	1 łyżka musztardy	10
55	czosnek	7	4 ząbki czosnku	20
56	oliwa	7	2 łyżki oliwy	20
57	majeranek	7	1 łyżka majeranku	10
58	papryka słodka	7	1 łyżka słodkiej papryki	10
59	sól	7	1 łyżeczka soli	6
60	pieprz	7	1/2 łyżeczki pieprzu	3
61	papryka ostra	7	1/2 łyżeczki ostrej papryki	3
62	karkówka wieprzowa	8	750g karkówki wieprzowej	750
63	czosnek	8	3 ząbki czosnku	15
64	majeranek	8	1,5 łyżeczki majeranku	9
65	sól	8	1 łyżeczka soli	6
66	pieprz	8	1/2 łyżeczki pieprzu	3
